Sentiment,tweet_bersih
negative,sombong mentang kaya pake umum host kaya hitam putih trans
negative,parah banget hitam putih trans ngomong sembarang yg rusak generasi muda acara kyk gin
negative,bangkrut perkara uang bangkrut mimpi bangqomar
negative,takut powernya oma martha
negative,hasil tdk sesuai dgn yg hendak demo demo lg sila arti sbg paksa hendak
negative,mulut farhat abas anjay bener
negative,klo episode muncul ga nonton lg hitam putih
negative,yaampun anak nonton
negative,anak yg butuh aku sang ayah
negative,mario teguh campak anak
negative,tuna netra aja bagi yg pegang jabat tinggi korupsi
negative,garing banget sih ni
negative,kalo nyanyi anak lagu na sakit malu
negative,ngatain tp knp yg ditindes
negative,bos kau kalo cowo salah bentak abis kalo cewe diajakin becanda trus ketawa
negative,suara sang veteran koruptor hukum mati
negative,berita ga nyebar sih
negative,buta tuh dalem ruang pake kacamata hitam
negative,dunia haru pergi mbak jupe
negative,gitu nasib atlet
negative,knp sahabat bs lupa dg sahabat temu teman baru
negative,baby tatan nang ngeliat daddy
negative,angkat topi tunduk kepala mbah simpen
negative,toleransi umat agama yg terap serang banten toleransi mitos
negative,suara sang veteran koruptor hukum mati
negative,duka anak buk
negative,yg yg harap
negative,ga tau buruk kau pergi
negative,udah sodok ajah bu haha
negative,butuh tegas masyarakat perintah butuh tindak ngoceh medsos
negative,hidup dijalanin dipikirin
negative,pimpin pribadi korban
negative,hidup dijalanin dipikirin mongol stres
negative,demo gak nyelesaikan bermusyawara ajha
negative,bayang konvensional online mana usaha tdk bayar yg orang kalah
negative,taksi konvensional kalo pepet taksi yg nunggu yg online
negative,kaya gin negara inti gk tuju usaha kaya gin
negative,gak gadget mahal nipu gk argonya argo kuda gak aman pake konvensional
negative,hidup pilih pasrah
negative,gawat darurat tetangga tembak dg sengaja kucing sekitar rumah
negative,miris liat hewan yg aniaya
negative,bicara masalah malu
negative,dedy sombong alu
positive,suka banget nonton tambah wawas ajar bicara keren
positive,ngakak mantap dah pokok seru
positive,rindu ilc indobesia lawyers club tvone
positive,indonesia lawyers club program talkshow tunggu pirsa tvone bahas topik kini
positive,kagum buya syafii maarif ilc tvone
positive,panglima bangga ilc tvone
positive,rating indonesia lawyers club tv one lesat
positive,sejuk kalo ilc kayak gin obrol ilc tvone
positive,nonton tvone indonesia lawyers club yuk
positive,ajar debat bidang hukum
positive,selamat tayang indonesia lawyers club tvone
positive,yg bikin adem hati aa gymnastiar
positive,ikhlas lepas doa
positive,bang cerdas hebat
positive,ustadz keren banget
positive,damai senandung
positive,damai senandung pecah belah umat agama musnah
positive,moga paham sejati indonesia
positive,ilc malam adem
positive,indah ilc malam muka agama rangkul tuju tinggal ahok rusak selaras bangsa
positive,tuju banget ustad
positive,top banget utadz zaitun rasmin
positive,yuk tonton tvone saji berita obyektif
positive,polmart bijaksana
positive,rakyat dukung kpk usut tuntas ktp
positive,acara televisi suka
positive,ga sabar nunggu
positive,semangat sehat karni tonton setia tunggu ilc tayang
positive,adem dengerin nasehat aa gym moga sehat slalu lindung
positive,ilmu serap malam sejuk
positive,bangga
positive,salut komitmen wibawa jenderal sungguh
positive,hormat jendral
positive,aa gym sejuk mental jiwa
positive,terimakasih buya syafii bangga dg kejernihaannya
positive,jelas kapolri barakallahu mari buka hati
positive,milik kasih maaf org yg maaf keren salut
positive,sampe diketawain krn kalem ujung keringat dingin mata merem asli lucu
positive,ahmad dhani ngomong seru
positive,dengar dapat hasim muzadi menentramkan keren
positive,salut hormat utk bang jhonson panjaitan lugas akal
positive,kompak bela bnn polisi
positive,keren abang acara botak
positive,jokowi org soleh hendropriyono
positive,top cerah prof
positive,media dukung ahok dapat iklan korporasi
positive,keren bikin melek
positive,salut darmawan salihin
positive,semga ilc informasi
positive,acara debat yag hebat keren
negative,tunggu tvshow indonesia lawyers club tvshow cocok karakter siar tvone
negative,indonesia lawyers club tvone malam batal tayang malu rezim sakit takut
negative,potensi teroris bikin nyata yg peluang pd teroris
negative,indonesia tp gak sikap dr presiden demo sibuk citra upload video gak
negative,acara bidik habieb rizieq habieb ga pulang indonesia ga ga mutu
negative,minoritas ekonomi kuat kuasa mayoritas ekonomi lemah bahas sumber radikal miris
negative,lg jaga jarak dg islamis radikal bangsa hancur
negative,omong ga tarik ga isi
negative,anis fitnah
negative,metromini utk jadi metronome bentuk macet padat putra petir
negative,bela ahok cek pikir kalah anak sd
negative,kayak provokatif bawa acara beda kelas dg
negative,pribadi tdk suka dgn acara najwa ilc tdk selesai kayak
negative,bohong ulang ulang
negative,racun puji
negative,males nonton topik ga kini
negative,bohong lari cepat kilat waktu benar kalah
negative,org yg nama tampang nabi tp hati iblis sesuai dgn nyata acara nazarudin
negative,jabat sibuk bicara hak angket tv ne
negative,paham gagal paham
negative,ngomong segitu gak dapet maksud
negative,sumpah liat muka ken gw lempar pake sepatu nyebelin bgt
negative,fahri dower sakit hati kpk
negative,dpr usik kpk bidik
negative,ajarin dewan ttg hak angket
negative,rakyat tp jg kadang ga neng yg superbodi kyknya tebang pilih jg
negative,rajut jakarta cabik cabik pimpin
negative,maksud cinta uang akar jahat
negative,geram ngeliat tingkah akhlaq oknum mengatasnama islam
negative,bohong publik rambut udah putih uban cat hitam
negative,beda kelas sm knp bebas batal
negative,nonton ilc tokoh betawi bilang org betawi gampang inti bacot lu jaga inti
negative,rajut jakarta gampang bacot lu jaga
negative,buya safi maarif yg tua kalah bijak nasihat eep yg muda
negative,rampas hak dasar manusia batal hukum
negative,polisi kasihan bodoh hadap argumentasi hukum pakar it
negative,abi manyu kasi beliau paham whatsapp miris
negative,bintang muncul partai tokoh mana sanggup gerak
negative,menghimbau provokasi tp mantik benci teduh tp mendung
negative,tindak anarkis aksi demo
negative,penting apa mati seram
negative,ketua preman pasar ikut ngomong malu
negative,jgn krn jaga moral dr konten porno negara darurat radikalisme tunggu perang kyk suriah kpi sadar
negative,butuh fakta bukti ngomong bohong
negative,kasi yg peci pake batik merah air dikeluarin krn ahoax
negative,syaiton musuh jgn jadi sbg teman manusia bs setan tp setan tdk bs manusia
negative,dengar cerita bu marwah bodoh malu
negative,bang gaya pikir liberal miris
negative,sesat pikir amat
negative,bicara ribet
positive,ih lucu mas kick andy senyum aja
positive,nonton hasan merkids kick andy inspirasi salut hasan
positive,ubah mimpi tindak kick andy
positive,kickandy gokil
positive,terima kasih tonton acara eps ubah mimpi tindak moga manfaat
positive,temu lentera jiwa
positive,agung undang cerita jalan hidup
positive,musisi yg gelora semangat nasionalisme kebhinekaan unjuk gigi nkri harga mati
positive,anak imajinasi
positive,gila daki gunung mantap jiwa
positive,sayang alam niscaya alam sayang
positive,mantan narapidana rangkul cari kerja jalan hidup yg lbh
positive,agung bukti karya yg kagum hasil dgn ajar scr otodidak
positive,salah jadi tonton tertawa agung hapsah muncul
positive,agung undang cerita jalan hidup
positive,jatuh bangkit bantu
positive,bangga bs sumbang karya nkri ronny patut acung jempol
positive,sahabat gimbal alas malam lupa nonton gila daki gunung ala cak tarpin
positive,takut berani berani
positive,suka hindar yag suka
positive,anak th berfikir dewasa membiyayai sekolah bajak sawah
positive,kangen nonton ayah ayah bilang syukur
positive,siang jg ajang reuni sahabat kosti dki kosti jateng
positive,ku lucu
positive,besok pagi uts jd pulang duluan poto bareng gambar
positive,bahagia tv kawan kick andy
positive,keren kocak nih tamu yg lomba design yg asal malang
positive,lucu ni bikin ketawa persis kayak tv
positive,terima kasih inspirasi buka setia uji cinta sungguh
positive,cinta agung tuhan
positive,rias baik wanita semangat percaya
positive,nonton inspirasi
positive,dukung ahok
positive,mantap ahok
positive,manusia bersih berani
positive,suka nasehat analta amir yg ahok nyaring ucap
positive,nonton tarik buka pikir inspirasi sukses
positive,jago hahahaha
positive,salut kek gitu
positive,moga ok umur moga acara malam lancar
positive,ajang inspirasi
positive,suara penta boys keren banget juara rumania
positive,penta boys eks suka suara keren
positive,selip detik kick andy keren
positive,terimakasih
positive,tayang inspiratif motivasi cinta disabilitas
positive,perjuagan istimewa krn tembus batas sbg syukur allah inspirasi
positive,syukur hidup
positive,acara inspirasi salut
positive,suka tamu undang inspirasi
negative,kalo udah puncak lupa sampah bawa turun alam nyampah stop nyampah gunung
negative,rt wna ancam deportasi lia ancam pidana
negative,nyala lilin umpat gelap
negative,ga bohong gimbal alas malang
negative,sampan bayar padang pasir betapa jua emp
negative,cari uang paksa upaya malas
negative,hidup terkadang
negative,coba suami istri sakit coba istri suami gak duit miris
negative,haru dengar puisi perempuan henti jaga anak anak shinta nuriyah miris
negative,anak milik dua milik salah bantu istri asuh anak
negative,uji suami istri sakit uji istri suami
negative,andy mampir dgn gaya remaja sbg idola remaja beli
negative,lemah kuat
negative,kuat besar kalah stress mampu pilih pikir
negative,yg kesel coba kalo sodara km ngantri kanker coba km rasain bs gitu fitnah org
negative,klo pulang rumah mati ga yg urus miskin mw taruh apartemen
negative,kalo antem tdk telor busuk ketek
negative,muka sedih banget pas kakak angkat ngomong
negative,andy kaku jaga sikap undang ahok tamu formal
negative,stress ngantuk
negative,cover aja sisi fisik sm isi beda
negative,kayak gajah yg bilang psikolog
negative,bakarin andy
negative,bikin sakit perut nonton kisah sarjana tua indonesia
negative,kerja yg tdk sesuai kualifikasi didik
negative,tp ttp tdk msk surga jd ibadah sia hahaah rt sp bilang tato tdk ibadah
negative,tato tdk ibadah
negative,bodoh bodoh sistem mike marjinal
negative,gimana un bs bocor malaikat alam kubur aja udah bocor
negative,anak lulus dg nilai palingg tinggi lulus snmptn undang bidik misi pdhl susah
negative,belanda aja peduli indonesia yg daerah isolir gimana dg perintah indonesia zhonk kickandymetrotv
negative,merinding deh nonton
negative,indonesia didik rusak
negative,parah kualitas didik indonesia
negative,apa kick andy botak
negative,malu krn kalah org yg tdk sempurna yg org sempurna
negative,hukum indonesia adil
negative,tua keladi jd macan ompong melempem kecewa liat amin rais
negative,media isi ttg kisah sukses tv gosip berita rusuh acara gg tai kucing
negative,harga harga
negative,bawah yg sulit keluh
negative,hidup juang lelah capek
negative,henti ajar bodoh
negative,ambil waktu berfikir usak
negative,miris usak indonesia
negative,sistem mike marjinal bodoh
negative,stress kacau
negative,kesel banget coba posisi ahok
negative,coba pulang rumah mati ga yg urus miskin taruh apartemen
negative,bodoh malas
positive,tuju al misbah najwa kick andy program favorit
positive,metro tv najwa pancasila
positive,selera gue gatau suka banget nonton metro tv kalo ga kick andy najwa selera tua
positive,mantap najwa seru nih
positive,sahabat yuk nonton najwa metro tv ketua umum dpp pkb
positive,suara benar najwa
positive,selamat keluarga prestasi yg dialog keren rugi klo lewat nonton najwa
positive,moga acara najwa metro tv acara favorit jaya kualitas
positive,menang najwa ok rt dukung najwa program tv baik
positive,najwa metrotv inspiratif
positive,tentram bahagia nonton najwa
positive,najwa keren acara mata tajam silet
positive,najwa malam kayak seru banget
positive,najwa keren mantap
positive,keren tampil kandang lawan anies baswedan gemilang najwa metro tv
positive,romantis muas pirsa krn najwa sukses
positive,tarik ikut diskusi ahok anis najwa
positive,ahok pinter hebat debat acara najwa metro tv
positive,najwa metro tv pihak paslon untung ahok cerdas semangat allah sama
positive,bukti najwa ahok hebat anis insaallah ahok jarot menang
positive,sip keren debat ala najwa keren ala kpud yg sdh atur utk lbh jaim
positive,moga jokowi acara najwa yg pelosok atas
positive,keren deh najwa
positive,metro tv keren inspiratif dgn najwa kick andy
positive,metro tv emang tv keren edukatif inspirasi najwa kick andy
positive,pimpin cerdas santun jujur bersih pilih aniessandipemersatu
positive,liat pimpin yg islami cerdas teladan
positive,rame banget malam tunggu topik seru nambah wawas
positive,kado indah malam matanajwametrotv
positive,tjokro rumah teladan senioritas hidup kerdil
positive,semangat bp bambang woidjojayanto
positive,ajar gusdur matanajwametrotv
positive,najwa sus bpk dahlan bpk faisal basri inspiratif
positive,metro tv keren malam lg malam minggu rugi klo ga nonton najwa
positive,merdeka hak bangsa
positive,seru nih najwa malam
positive,salut ahok
positive,super salut ahok
positive,matanajwametrotv wibawa byk kuasa sederhana kagum
positive,salut bangga sm bj habibie utk yg sekian kali
positive,obrol santai tarik abraham slamet jk jokowi anis baswedan ganjar
positive,anis baswedan jokowi ganjar pranowo jk abraham samad inspirasi indonesia keren
positive,pimpin yg
positive,rendah sederhana jokowi patut tiru
positive,seru nih dahlan iskan ketua dpr
positive,desa bebas rokok yg inspirasi
positive,inspirasi cinta bjh hab
positive,inspirasi
positive,narasumber
positive,cie yg lg job
negative,nonton najwa radikalisme berita seram
negative,najwa acara sampah yg cuman keruh suasana gue sbg ajar mending pilih ilc
negative,aneh acara najwa metrotv ajar islam umat islam islamis edan tokoh islam manggut
negative,ilc dingin najwa provokasi metro tv emang tv sampah ga bosan pojok islam metro tv usak pancasila
negative,lapor metro tv kpi metro stres najwa kalah ilc
negative,kecewa najwa malam mutu narasi najwa bukti ga ngerti pihak bodoh
negative,acara najwa host suka sela bicara selesai gak sopan
negative,emosi sakit hati nonton najwa tv ganti chanel masakan aja
negative,isis mimin bom kp melayu maaf isis organisasi organisasi mbak najwa mimin
negative,foto yg integritas tdk rusak reputasi najwa aja
negative,gara bantai teman anggota dpr najwa lu benci metro tv
negative,muak sombong fz acara live najwa
negative,males biarpun yg org nomor dunia ogah bawa acara najwa sdh dicontreng hitam
negative,sering gaul najwa engga apa apain ngadu
negative,udah bilang najwa metro tv aja anis fitnah
negative,mui keluar fatwa haram korupsi undang jg petinggi mui najwa
negative,bravo najwa debat pilgub dki garing kalah matanajwa yg gali lbh
negative,kasihan pas debat najwa metrotv aja basuki nang ga bayang kemarin debat
negative,acara najwa kasihan anies jd an medsos hujat
negative,nyetel metro tv najwa debat kemaren bikin kesel rumah coba cek skrg msh ga rumah webnya
negative,waktu sandi muncul sbg cawagub metro tv dlm acara najwa sandi sdh bohong
negative,saksi kejut dukung anies tipu acara najwa tipu
negative,kandang ahok metro tv najwa sampah yg sera anies pilih
negative,boikot metrotv tp ngintip najwa
negative,malas anies bawa sial aja ahok aja najwa
negative,nonton najwa gw liat anies ngomong bikin ngantuk
negative,najwa tuduh jelek lawan fon lawan
negative,liat najwa males diskusi ga imbang salah satu jual mimpi
negative,kayak najwa adu domba cagub putar pilkada dki nih
negative,gak penjara saksi aja palsu ahok
negative,anis anis rekam thn msh simpan loh sm metrotv gak malu nelen ludah sendri
negative,bagus apa sistem jalan yg sistem
negative,ridwan bae tai tampang aja udah ngeselin ayo mbk nana bully trus si bae
negative,miris liat atur skor sepakbola indonesia
negative,pemuda perang lawan jajah pemuda lawan biasa buruk kunjung ubah
negative,pasrah haha tai
negative,lo bilang ga kerjan
negative,pssi lacur hati nurani malu
negative,jembatan comal blm akibatya padat rayap
negative,tegak langgar hukum bayar seragam tegak hukum rimba
negative,wapresnya diketawain mulu bajusama staff hotel celana robek
negative,rt pimpin mendongrak kokoh materi
negative,tdk dg tonton km dalam ubah ahok matanajwametrotv
negative,lembaga negara indonesia bobrok
negative,org tolol bilang duga udh mencak bgt jd sangka
negative,banget deh gw kesel klo debat pake emosi gin
negative,miskin miskin klo sekolah pungut liar
negative,ga emosi cepat tua nonton emosi bicara
negative,dr tampil kyk preman tau bkin kisruh usak
negative,aja ga belit belit muter ga buang waktu ga mutu
